,ds,ticker,open,high,low,close,volume,SMA,EMA,RSI,MACD,%K,%D
101,2025-02-14,TSLA,360.6199951171875,362.0,347.5,355.8399963378906,68277300,361.752001953125,375.4988811946627,35.865326702848634,-14.9353541143401,32.39540033222324,25.640215843264382
102,2025-02-18,TSLA,355.010009765625,359.1000061035156,350.0199890136719,354.1099853515625,51631700,358.7950012207031,373.46184349531984,35.03266847033041,-14.688651099389176,30.57222478616948,31.822805694428585
103,2025-02-19,TSLA,354.0,367.3399963378906,353.6700134277344,360.55999755859375,67094400,355.6300018310547,372.2330962632507,40.116359070776106,-13.813442337833862,37.36958308073539,33.445736066376035
104,2025-02-20,TSLA,361.510009765625,362.2999877929688,348.0,354.3999938964844,45965400,353.2529998779297,370.5347055616539,33.539039318522725,-13.461715624899341,30.877850872608626,32.9398862465045
105,2025-02-21,TSLA,353.44000244140625,354.9800109863281,334.4200134277344,337.79998779296875,74058600,349.6009979248047,367.41711339320767,27.974149823875933,-14.356953409349103,18.432485942645553,28.893306631996523
106,2025-02-24,TSLA,338.1400146484375,342.3999938964844,324.70001220703125,330.5299987792969,76052300,346.49199829101565,363.9040548585495,30.741363177259984,-15.474680672793795,8.41268051833213,19.241005777862103
107,2025-02-25,TSLA,327.0199890136719,328.8900146484375,297.25,302.79998779296875,134228800,341.69899597167966,358.08461989992276,21.559900466005004,-18.386123927418623,6.08951821477889,10.97822822525219
108,2025-02-26,TSLA,303.7099914550781,309.0,288.0400085449219,290.79998779296875,100118300,337.9289947509766,351.6765596992605,21.84337908444151,-21.414905691840715,2.9834394845625734,5.828546072557864
109,2025-02-27,TSLA,291.1600036621094,297.2300109863281,280.8800048828125,281.95001220703125,101748200,332.4729949951172,345.03593612857196,21.16141709776828,-24.249819306812128,1.0735502234241048,3.382169307588523
110,2025-02-28,TSLA,279.5,293.8800048828125,273.6000061035156,292.9800109863281,115697000,326.1769958496094,340.0782289721678,28.344277078331075,-25.314668312708363,20.674212611242346,8.243734106409676
111,2025-03-03,TSLA,300.3399963378906,303.94000244140625,277.29998779296875,284.6499938964844,115551400,319.05799560546876,334.7993494411503,28.809646464369692,-26.52496826110223,11.787912251047636,11.178558361904697
112,2025-03-04,TSLA,270.92999267578125,284.3500061035156,261.8399963378906,272.0400085449219,126706600,310.8509979248047,328.8222693557952,30.704038144673333,-28.176854878218023,9.668258016143366,14.043460959477784
113,2025-03-05,TSLA,272.9200134277344,279.54998779296875,267.7099914550781,279.1000061035156,94042900,302.7049987792969,324.0868157127209,30.25111756059266,-28.58677359204529,16.3601988299763,12.605456365722437
114,2025-03-06,TSLA,272.0599975585937,272.6499938964844,260.0199890136719,263.45001220703125,98451600,293.61000061035156,318.31188204551233,17.334186109577004,-29.830592341435192,3.196070591942018,9.741509146020563
115,2025-03-07,TSLA,259.32000732421875,266.25,250.72999572753903,262.6700134277344,102369600,286.0970031738281,313.0126564628668,17.25132410890818,-30.527366565186753,10.239274194065489,9.931847871994604
116,2025-03-10,TSLA,252.5399932861328,253.3699951171875,220.0,222.1499938964844,189076900,275.25900268554693,304.3590695517828,13.555019546319073,-33.95774830919231,1.4592058842962665,4.964850223434593
117,2025-03-11,TSLA,225.30999755859372,237.05999755859372,217.0200042724609,230.5800018310547,174896400,268.0370040893555,297.3324916736182,14.490221644285782,-35.58590718154778,9.33369981879137,7.010726632384376
118,2025-03-12,TSLA,247.22000122070312,251.83999633789065,241.1000061035156,248.08999633789065,142215700,263.76600494384763,292.64273021307275,22.65267267859464,-35.0591841473032,22.52101373832907,11.104639813805571
119,2025-03-13,TSLA,248.1300048828125,248.2899932861328,232.6000061035156,240.67999267578125,114813500,259.63900299072264,287.693898066664,23.77686603346288,-34.83808594654141,18.870625587280287,16.908446381466913
120,2025-03-14,TSLA,247.30999755859372,251.5800018310547,240.72999572753903,249.97999572753903,100242300,255.33900146484376,284.1020978438902,28.486726092886983,-33.525965050687034,29.4627589148379,23.618132746815757
121,2025-03-17,TSLA,245.05999755859372,245.3999938964844,232.8000030517578,238.00999450683597,111900600,250.6750015258789,279.7123737165517,31.105280128499558,-33.0707597162625,22.8201687425069,23.7178510815417
122,2025-03-18,TSLA,228.16000366210935,230.1000061035156,222.27999877929688,225.30999755859372,111477600,246.0020004272461,274.53119503484146,30.978799722248354,-33.350347775291,9.5374982291413,20.606808628828702
123,2025-03-19,TSLA,231.6100006103516,241.41000366210935,229.1999969482422,235.8600006103516,111993800,241.6779998779297,270.848224137271,36.74431810950781,-32.34774162054015,21.675099786900144,18.01092225284945
124,2025-03-20,TSLA,233.3500061035156,238.0,230.0500030517578,236.25999450683597,99028300,238.95899810791016,267.5541070296105,32.62467505429434,-31.161680400767438,22.135286055780306,17.782628023940585
125,2025-03-21,TSLA,234.9900054931641,249.5200042724609,234.5500030517578,248.7100067138672,132728700,237.56299743652343,265.75943080906353,39.26138858253482,-28.884147925447053,47.06668881566828,30.29235821944958
126,2025-03-24,TSLA,258.0799865722656,278.6400146484375,256.3299865722656,278.3900146484375,169079900,243.18699951171874,266.96234355567054,51.72170840154182,-24.402956345438923,98.14493291182332,55.782302594423975
127,2025-03-25,TSLA,283.6000061035156,288.20001220703125,271.2799987792969,288.1400146484375,150361500,248.94300079345703,268.97926461212455,52.41582222755768,-19.836177115000226,99.91571009847469,81.70911060865542
128,2025-03-26,TSLA,282.6600036621094,284.8999938964844,266.510009765625,272.0599975585937,153629800,251.34000091552736,269.2726677498835,52.29562806093097,-17.314899285042884,77.32507326597423,91.79523875875742
129,2025-03-27,TSLA,272.4800109863281,291.8500061035156,271.82000732421875,273.1300048828125,162572100,254.58500213623046,269.6400331911148,52.78457769354657,-15.056861662659514,74.98329445057657,84.0746926050085
130,2025-03-28,TSLA,275.5799865722656,276.1000061035156,260.57000732421875,263.54998779296875,123809400,255.94200134277344,269.06002886748183,63.194791082677135,-13.880373587757958,62.18091992775781,71.49642921476953
131,2025-03-31,TSLA,249.30999755859372,260.5599975585937,243.3600006103516,259.1600036621094,134008900,258.05700225830077,268.11716932411304,59.34964471211322,-13.150640940222672,53.01135690692074,63.391857095085044
132,2025-04-01,TSLA,263.79998779296875,277.45001220703125,259.25,268.4599914550781,146486900,262.3720016479492,268.1498190508716,57.04210403488999,-11.687168860347356,66.37916891479907,60.52381524982587
133,2025-04-02,TSLA,254.6000061035156,284.989990234375,251.2700042724609,282.760009765625,212787800,267.06200256347654,269.54126578561,63.885956702193276,-9.266644615041344,86.93402992538394,68.77485191570126
134,2025-04-03,TSLA,265.2900085449219,276.29998779296875,261.510009765625,267.2799987792969,136174300,270.1640029907227,269.325907023104,55.485097238702046,-8.499492369166319,64.68304623037545,72.66541502351949
135,2025-04-04,TSLA,255.3800048828125,261.0,236.0,239.42999267578125,181229400,269.2360015869141,266.4786770852637,50.40903262318777,-10.023239758927446,24.651418845710126,58.75616500048985
136,2025-04-07,TSLA,223.77999877929688,252.0,214.25,233.2899932861328,183453800,264.7259994506836,263.31785005677506,52.388933243691866,-11.592634505533567,24.536071892486895,37.95684565619083
137,2025-04-08,TSLA,245.0,250.44000244140625,217.8000030517578,221.8600006103516,171603500,258.097998046875,259.36948344282996,45.83085306145373,-13.601901776805448,9.80670104613152,19.664730594776184
138,2025-04-09,TSLA,224.69000244140625,274.69000244140625,223.8800048828125,272.20001220703125,219433400,258.11199951171875,260.5914385632301,58.249175017705824,-11.005379177903762,74.67784490857902,36.34020594906582
139,2025-04-10,TSLA,260.0,262.489990234375,239.3300018310547,252.3999938964844,181722600,256.03899841308595,259.811300975921,50.81930500742747,-10.425137814045513,49.16235940187128,44.54896845219395
140,2025-04-11,TSLA,251.83999633789065,257.739990234375,241.3600006103516,252.30999755859372,128948100,254.91499938964844,259.0968911266517,43.333331253062866,-9.8589069626031,49.04638474876284,57.628863019737715
141,2025-04-14,TSLA,258.3599853515625,261.79998779296875,245.92999267578125,252.3500061035156,100135200,254.23399963378907,258.4543306482578,40.37334069252826,-9.299735021706027,49.09794214795751,49.102228766197214
142,2025-04-15,TSLA,249.91000366210935,258.75,247.5399932861328,254.1100006103516,79594300,252.79900054931642,258.04058493036194,44.768901500042496,-8.61525903872905,51.36597612786239,49.836767674860916
143,2025-04-16,TSLA,247.6100006103516,251.97000122070312,233.88999938964844,241.5500030517578,112378700,248.6779998779297,256.47005332287586,41.37441430261491,-8.982746218692057,38.59203678330705,46.35198501970899
144,2025-04-17,TSLA,243.47000122070312,244.33999633789065,237.67999267578125,241.3699951171875,83404800,246.08699951171874,255.0319525413817,43.613961675018615,-9.18265565397138,38.33757260544399,42.76519517220448
